"ID";"TEXT";"IS_CORRECT"
"91";"Hello";"TRUE"
"92";"20";"TRUE"
"93";"Encapsulation";"FALSE"
"94";"Polymorphism";"FALSE"
"95";"Abstraction";"TRUE"
"96";"Object persistence";"FALSE"
"97";"An object is what classes instantiated are from";"FALSE"
"98";"An object is an instance of a class";"TRUE"
"99";"An object is a variable";"FALSE"
"100";"An object is a reference to an attribute";"FALSE"
"101";"Encapsulation";"FALSE"
"102";"Interface";"FALSE"
"103";"Composition";"FALSE"
"104";"Inheritance";"TRUE"
"105";"List";"FALSE"
"106";"Queue";"TRUE"
"107";"Math";"FALSE"
"108";"Stack";"FALSE"
"109";"Input stream";"FALSE"
"110";"Output Stream";"TRUE"
"111";"Reader stream";"FALSE"
"112";"Input reader stream";"FALSE"
"113";"void method1";"FALSE"
"114";"void method2()";"TRUE"
"115";"void method3(void)";"FALSE"
"116";"method4()";"FALSE"
"117";"12345";"FALSE"
"118";"15";"FALSE"
"119";"135";"FALSE"
"120";"145";"TRUE"
"90";"0";"TRUE"
